irpeatmodels_model_name,irpeat_variable_name
model_eac_1,eac_1
model_eac_2,edc_1
model_holocellulose_content_1,holocellulose_content_1
model_klason_lignin_content_1,klason_lignin_content_1
model_holocellulose_content_2,holocellulose_content_2
model_klason_lignin_content_2,klason_lignin_content_2
model_carbon_content_1,carbon_content_1
model_nitrogen_content_1,nitrogen_content_1
model_hydrogen_content_1,hydrogen_content_1
model_oxygen_content_1,oxygen_content_1
model_phosphorus_content_1,phosphorus_content_1
model_sulfur_content_1,sulfur_content_1
model_potassium_content_1,potassium_content_1
model_titanium_content_1,titanium_content_1
model_dry_bulk_density_1,dry_bulk_density_1
model_d13C_1,d13C_1
model_d15N_1,d15N_1
model_dgf0_1,dgf0_1
model_saturated_hydraulic_conductivity_1,saturated_hydraulic_conductivity_1
model_porosity_1,volume_fraction_solids_1
model_porosity_1,non_macroporosity_1
model_porosity_1,macroporosity_1
model_C_to_N_1,C_to_N_1
model_O_to_C_1,O_to_C_1
model_H_to_C_1,H_to_C_1
